frequency_hz,amplitude_ch1,amplitude_ch2
0.0,0.62432088,0.00831992
0.5,0.01915389731897599,0.014458318099438788
1.0,0.07033402348977456,0.06514807331865648
1.5,0.18421160567728645,0.13096821903592126
2.0,0.1188380233411073,1.8297599634337063
2.5,0.06575946922358683,0.18536034500392856
3.0,0.021136058265291587,0.0969315642298134
3.5,0.02571142944731158,0.04648879482053596
4.0,0.03942457928425247,0.05669445320964816
4.5,0.027512527654889297,0.03756130040508547
5.0,0.017028779201839806,0.03619519168342089
5.5,0.02398884463595241,0.03388148028158423
6.0,0.022723521944337074,0.05320095224612854
6.5,0.00610618836728502,0.01660013428610273
7.0,0.02383433318319216,0.017399891390266025
7.5,0.03882227392052285,0.01723882976684641
8.0,0.028017229349549415,0.014695561505218271
8.5,0.017963019167365257,0.016288403354007015
9.0,0.022779319771583276,0.014597150523811993
9.5,0.058342469668145165,0.012476893326974233
10.0,0.04985210658151731,0.0069573485479006705
